""	"Component"	"Collection"	"pathway"	"BG_genes"	"genes_in_pathway"	"genes_in_path_and_BG"	"genes_of_interest"	"genes_of_interest_in_pathway"	"gene_names_in_pathway"	"cont_n1"	"cont_n2"	"cont_n3"	"cont_n4"	"CI_95"	"odds_ratio"	"p_val"	"p_adj"
"714"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_ALLOGRAFT_REJECTION"	14267	157	22	10970	22	"CD40,CD86,FAS,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IL10,PRF1"	22	10948	0	3297	"2.0631-Inf"	Inf	0.00306980961386004	0.0803266848960043
"1814"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_AUTOIMMUNE_THYROID_DISEASE"	14267	166	22	10970	22	"CD40,CD86,FAS,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,IL10,PRF1"	22	10948	0	3297	"2.0631-Inf"	Inf	0.00306980961386004	0.0803266848960043
"1182"	"gene_taxa_component_2.txt"	"C2_CP"	"KEGG_REGULATION_OF_AUTOPHAGY"	14267	35	19	10646	19	"ATG12,ATG3,ATG4A,ATG4B,ATG4C,ATG4D,ATG5,ATG7,BECN1,GABARAP,GABARAPL1,GABARAPL2,PIK3C3,PIK3R4,PRKAA1,PRKAA2,ULK1,ULK2,ULK3"	19	10627	0	3621	"1.994-Inf"	Inf	0.00382340182695988	0.0877133912982624
"28"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_CELL_CYCLE"	14267	130	118	10578	100	"ABL1,ANAPC11,ANAPC2,ANAPC4,ANAPC5,ANAPC7,ATM,ATR,BUB1,BUB1B,BUB3,CCNA1,CCNA2,CCNB1,CCNB2,CCND3,CCNE1,CCNH,CDC16,CDC20,CDC25A,CDC25B,CDC25C,CDC26,CDC27,CDC45,CDC6,CDC7,CDK1,CDK2,CDK4,CDK6,CDK7,CDKN1A,CDKN1C,CDKN2A,CDKN2B,CDKN2D,CHEK1,CHEK2,DBF4,E2F1,E2F2,E2F3,E2F4,E2F5,EP300,ESPL1,FZR1,GADD45A,GADD45B,GSK3B,HDAC1,HDAC2,MAD1L1,MAD2L1,MAD2L2,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MDM2,MYC,ORC1,ORC2,ORC4,ORC5,ORC6,PCNA,PKMYT1,PLK1,PRKDC,PTTG1,RAD21,RB1,RBL1,RBX1,SFN,SKP2,SMAD2,SMAD3,SMAD4,SMC1A,SMC1B,SMC3,TFDP1,TFDP2,TGFB1,TGFB2,TGFB3,TP53,WEE1,YWHAB,YWHAE,YWHAH,YWHAQ,YWHAZ,ZBTB17"	100	10478	18	3671	"1.2566-Inf"	1.94641100106405	0.00399359253459132	0.0877133912982624
"135"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_THYROID_CANCER"	14267	35	26	10578	25	"BRAF,CCDC6,CTNNB1,HRAS,KRAS,LEF1,MAP2K1,MAP2K2,MAPK1,MAPK3,MYC,NCOA4,NRAS,PAX8,PPARG,RET,RXRA,RXRB,TCF7,TCF7L1,TCF7L2,TFG,TP53,TPM3,TPR"	25	10553	1	3688	"1.7071-Inf"	8.73619275405712	0.00419013015756031	0.0877133912982624
"2522"	"gene_taxa_component_2.txt"	"C2_CP"	"PID_MTOR_4PATHWAY"	14267	74	68	10646	60	"AKT1,ATG13,BNIP3,BRAF,CDK2,CLIP1,CYCS,DEPTOR,EEF2,EEF2K,EIF4B,EIF4E,EIF4EBP1,FBXW11,HRAS,IKBKB,IRS1,KRAS,MAP2K1,MAPK1,MAPK3,MAPKAP1,MLST8,MTOR,NRAS,PDCD4,PDPK1,PLD1,PLD2,PML,POLDIP3,PPARGC1A,PRKCA,PRR5,PXN,RAC1,RAF1,RB1CC1,RHEB,RHOA,RICTOR,RPS6KA1,RPS6KB1,RPTOR,RRAGA,RRAGB,RRAGC,RRAGD,RRN3,SGK1,SREBF1,TSC1,TSC2,ULK1,ULK2,YWHAB,YWHAG,YWHAQ,YWHAZ,YY1"	60	10586	8	3613	"1.3445-Inf"	2.55976919922919	0.00458992836606814	0.0900773441840872
"194"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_ER_NONGENOMIC_PATHWAY"	14267	42	38	10578	35	"BCAR1,GNA11,GNA13,GNA14,GNA15,GNAI1,GNAI2,GNAI3,GNAL,GNAO1,GNAQ,GNAZ,GNB1,GNG2,GRB2,HBEGF,HRAS,KRAS,MAPK11,MMP2,MMP9,MSN,NOS3,NRAS,PELP1,PIK3CA,PIK3R1,PLCB2,PLCB3,RHOA,ROCK2,SHC1,SOS1,SRC,STRN"	35	10543	3	3686	"1.474-Inf"	4.07870638108444	0.00524138523569268	0.0934484698019964
"255"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_MYC_REPRESS_PATHWAY"	14267	66	60	10578	53	"BCL2,BRCA1,CCL5,CDKN1A,CDKN2B,CEBPA,CEBPD,CFLAR,CLU,COL1A2,CREB1,CSDE1,DDIT3,EP300,ERBB2,FOXO3,FTH1,GADD45A,HDAC1,HDAC3,HMGCS2,ID2,IRF8,ITGA6,ITGB1,LGALS1,MAX,MXD4,MYC,NDRG1,NDRG2,NFYA,NFYB,NFYC,PDGFRB,PTPA,RBL1,S100A7,SFRP1,SFXN3,SLC11A1,SMAD2,SMAD3,SMAD4,SP1,SPI1,TBP,TJP2,TMEFF2,TMEM126A,TSC2,ZBTB17,ZFP36L1"	53	10525	7	3682	"1.3307-Inf"	2.64876804701808	0.00583293707285331	0.0934484698019964
"176"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_CD8_TCR_DOWNSTREAM_PATHWAY"	14267	81	43	10578	39	"B2M,BRAF,CD3D,CD3E,CD8A,CD8B,EGR1,FOS,FOSL1,GZMB,HLA-A,HRAS,IFNAR1,IL2RA,IL2RB,IL2RG,JUN,JUNB,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,MAPK8,NFATC1,NFATC2,NFATC3,NRAS,PPP3CA,PPP3CB,PPP3R1,PRF1,PRKCA,PRKCQ,PTPN7,RAF1,TNFRSF18,TNFRSF4,TNFRSF9"	39	10539	4	3685	"1.3942-Inf"	3.4090602056404	0.00634617665426173	0.0934484698019964
"218"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_HIV_NEF_PATHWAY"	14267	48	31	10578	29	"APAF1,BAG4,BCL2,BID,BIRC3,CASP2,CASP3,CASP6,CASP7,CASP8,CASP9,CFLAR,CHUK,CYCS,DAXX,DFFA,FADD,MAP2K7,MAP3K14,MAP3K5,MAPK8,NFKB1,NFKBIA,RELA,RIPK1,TNFRSF1A,TRADD,TRAF1,TRAF2"	29	10549	2	3687	"1.4941-Inf"	5.06765755374215	0.00637076550759446	0.0934484698019964
"1631"	"gene_taxa_component_10.txt"	"C2_CP"	"PID_ARF6_PATHWAY"	14267	36	28	11032	27	"ACAP1,ACAP2,ADAP1,AGTR1,ARAP2,ARF6,ARRB1,ARRB2,CYTH2,CYTH3,EFNA1,EGF,EGFR,EPHA2,GIT1,GNA11,GNA14,GNA15,GNAQ,GULP1,HGF,IQSEC1,KIF13B,MET,NCK1,PXN,SRC"	27	11005	1	3234	"1.5589-Inf"	7.9338090929071	0.00683699069977083	0.0934484698019964
"2971"	"gene_taxa_component_10.txt"	"C2_CP"	"PID_SYNDECAN_4_PATHWAY"	14267	33	28	11032	27	"ACTN1,ADAM12,CCL5,CXCL12,CXCR4,DNM2,FGF2,FGFR1,FN1,FZD7,GIPC1,ITGA5,ITGB1,LAMA1,LAMA3,MDK,NUDT16L1,PRKCA,PRKCD,PTK2,RAC1,RHOA,SDC4,SDCBP,TFPI,THBS1,TNC"	27	11005	1	3234	"1.5589-Inf"	7.9338090929071	0.00683699069977083	0.0934484698019964
"163"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_ATF2_PATHWAY"	14267	61	48	10578	43	"ACHE,ATF2,ATF3,BCL2,BCL2L1,BRCA1,CBFB,CCNA2,CDK4,CREB1,CSRP2,CUL3,CXCL8,DDIT3,DUSP1,DUSP5,EP300,FOS,GADD45A,HES1,JDP2,JUN,JUNB,JUND,KAT5,MACROH2A1,MAPK1,MAPK11,MAPK14,MAPK3,MAPK8,MMP2,NF1,PDGFRA,PLAU,PPARGC1A,PRKCA,RB1,RUVBL2,SERPINB5,SOCS3,TGFB2,TH"	43	10535	5	3684	"1.3414-Inf"	3.00733244105086	0.00723309200123605	0.0934484698019964
"1414"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_TYPE_I_DIABETES_MELLITUS"	14267	170	27	10970	26	"CD86,CPE,FAS,GAD1,GZMB,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HSPD1,IL1A,PRF1,PTPRN,PTPRN2"	26	10944	1	3296	"1.5344-Inf"	7.82983494497029	0.00751699876612209	0.0934484698019964
"21"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_BASAL_TRANSCRIPTION_FACTORS"	14267	45	30	10578	28	"GTF2A2,GTF2B,GTF2E1,GTF2E2,GTF2F1,GTF2F2,GTF2H1,GTF2H3,GTF2H4,GTF2I,TAF1,TAF10,TAF11,TAF12,TAF13,TAF2,TAF4,TAF4B,TAF5,TAF5L,TAF6,TAF6L,TAF7,TAF7L,TAF9,TAF9B,TBP,TBPL1"	28	10550	2	3687	"1.4386-Inf"	4.89245809649007	0.00809454362526322	0.0934484698019964
"206"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_FOXM1_PATHWAY"	14267	40	36	10578	33	"AURKB,BIRC5,CCNA2,CCNB1,CCNB2,CCNE1,CDC25B,CDK1,CDK2,CDK4,CDKN2A,CENPA,CENPB,CENPF,CHEK2,CKS1B,EP300,ETV5,FOS,FOXM1,GAS1,GSK3A,LAMA4,MAP2K1,MMP2,MYC,NEK2,NFATC3,PLK1,RB1,SKP2,SP1,XRCC1"	33	10545	3	3686	"1.3838-Inf"	3.84492780811211	0.00819971226522523	0.0934484698019964
"268"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_P53_REGULATION_PATHWAY"	14267	65	58	10578	51	"ABL1,ATM,ATR,CCNA2,CDK2,CDKN2A,CHEK1,CHEK2,COP1,CSE1L,CSNK1D,CSNK1E,CSNK1G1,CSNK1G2,CSNK1G3,DAXX,DYRK2,E4F1,EP300,FBXO11,GSK3B,HIPK2,HUWE1,KAT2B,KAT5,KMT5A,MAPK14,MAPK8,MDM2,MDM4,NEDD8,PIN1,PPM1D,PPP1R13L,PRKCD,PRMT5,PTPA,RASSF1,RCHY1,RPL11,RPL23,RPL5,SETD7,SKP2,SMYD2,TP53,TRIM28,TTC5,UBE2D1,USP7,YY1"	51	10527	7	3682	"1.2775-Inf"	2.54834078254458	0.00842544152260617	0.0934484698019964
"712"	"gene_taxa_component_2.txt"	"C2_CP"	"KEGG_INOSITOL_PHOSPHATE_METABOLISM"	14267	57	48	10646	43	"ALDH6A1,CDIPT,IMPA1,IMPA2,INPP4A,INPP4B,INPP5A,INPP5B,INPP5J,INPPL1,IPMK,IPPK,ISYNA1,ITPK1,ITPKA,ITPKB,MINPP1,OCRL,PI4KA,PI4KB,PIK3C2A,PIK3C2B,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIKFYVE,PIP4K2B,PIP4K2C,PIP5K1A,PIP5K1B,PIP5K1C,PLCB1,PLCB2,PLCB3,PLCD1,PLCD3,PLCE1,PLCG1,PLCG2,PTEN,SYNJ1,TPI1"	43	10603	5	3616	"1.3081-Inf"	2.93288383791915	0.00877039122390561	0.0934484698019964
"1143"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION"	14267	26	18	10970	18	"AQP1,ATP1A1,ATP1A3,ATP1B1,ATP1B2,ATP1B3,CA2,CA4,GLS,GLUD1,GLUD2,MDH1,PCK1,PCK2,SLC25A10,SLC38A3,SLC4A4,SLC9A3"	18	10952	0	3297	"1.6615-Inf"	Inf	0.00879691326671357	0.0934484698019964
"125"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_SMALL_CELL_LUNG_CANCER"	14267	92	78	10578	67	"AKT2,AKT3,APAF1,BCL2,BCL2L1,BIRC2,BIRC3,CASP9,CCNE1,CDK2,CDK4,CDK6,CDKN2B,CHUK,CKS1B,COL4A1,COL4A2,COL4A6,CYCS,E2F1,E2F2,E2F3,FHIT,FN1,IKBKB,ITGA2,ITGA6,ITGAV,ITGB1,LAMA1,LAMA2,LAMA4,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,MAX,MYC,NFKB1,NFKBIA,PIAS1,PIAS2,PIAS3,PIAS4,PIK3CA,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PTEN,PTGS2,PTK2,RB1,RELA,RXRA,RXRB,SKP2,TP53,TRAF1,TRAF2,TRAF3,TRAF4,TRAF5,TRAF6"	67	10511	11	3678	"1.2204-Inf"	2.13132678351109	0.00916710089119807	0.0934484698019964
"276"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_PRL_SIGNALING_EVENTS_PATHWAY"	14267	26	23	10578	22	"AGT,BCAR1,CCNA2,CCNE1,CDK2,CDKN1A,EGR1,ITGA1,ITGB1,MAPK1,MAPK3,PTP4A1,PTP4A2,PTP4A3,RABGGTA,RABGGTB,RAC1,RHOA,RHOC,ROCK1,SRC,TUBA1B"	22	10556	1	3688	"1.4865-Inf"	7.68569393601364	0.0092258043435092	0.0934484698019964
"91"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_NUCLEOTIDE_EXCISION_REPAIR"	14267	53	41	10578	37	"CCNH,CDK7,CETN2,CUL4A,CUL4B,DDB2,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,GTF2H1,GTF2H3,GTF2H4,LIG1,MNAT1,PCNA,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,RAD23A,RAD23B,RBX1,RFC1,RFC2,RFC3,RFC4,RFC5,RPA1,RPA2,RPA3,XPA"	37	10541	4	3685	"1.3178-Inf"	3.23364040771564	0.00964609989965808	0.0946523552653949
"158"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_AR_NONGENOMIC_PATHWAY"	14267	32	29	10578	27	"AR,CDC42,CREB1,FOS,GNAI1,GNAI2,GNAI3,GNAO1,GNAZ,GNB1,GNG2,HRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,PELP1,PIK3CA,PIK3R1,PLCB2,PLCB3,PLCG1,PLCG2,PTK2,RAC1,RAF1,SRC"	27	10551	2	3687	"1.3832-Inf"	4.71729201053783	0.0102654595375464	0.0965773639933957
"1252"	"gene_taxa_component_2.txt"	"C2_CP"	"KEGG_SELENOAMINO_ACID_METABOLISM"	14267	26	23	10646	22	"AHCY,AHCYL1,AHCYL2,BUD23,CTH,GGT1,GGT5,GGT6,LCMT1,LCMT2,MARS1,MARS2,MAT1A,MAT2A,MAT2B,METTL2B,METTL6,PAPSS1,PAPSS2,SEPHS1,SEPHS2,TRMT11"	22	10624	1	3620	"1.4497-Inf"	7.4957007386732	0.0104574215789027	0.0965773639933957
"322"	"gene_taxa_component_2.txt"	"C2_CP"	"KEGG_CITRATE_CYCLE_TCA_CYCLE"	14267	32	29	10646	27	"ACLY,ACO1,ACO2,CS,DLAT,DLD,DLST,FH,IDH1,IDH2,IDH3A,IDH3B,IDH3G,MDH1,MDH2,OGDH,OGDHL,PC,PDHA1,PDHB,SDHA,SDHB,SDHC,SDHD,SUCLA2,SUCLG1,SUCLG2"	27	10619	2	3619	"1.349-Inf"	4.60063749339491	0.0118207514822667	0.100250144395527
"1102"	"gene_taxa_component_2.txt"	"C2_CP"	"KEGG_PROPANOATE_METABOLISM"	14267	35	29	10646	27	"ABAT,ACACA,ACACB,ACADM,ACAT1,ACAT2,ACSS3,ALDH1B1,ALDH2,ALDH3A2,ALDH6A1,ALDH7A1,ALDH9A1,ECHS1,EHHADH,HADHA,HIBCH,LDHA,LDHB,MCEE,MLYCD,MMUT,PCCA,PCCB,SUCLA2,SUCLG1,SUCLG2"	27	10619	2	3619	"1.349-Inf"	4.60063749339491	0.0118207514822667	0.100250144395527
"132"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY"	14267	122	86	10578	73	"AKT2,AKT3,BCL10,CBL,CBLB,CD3D,CD3E,CD8A,CD8B,CDC42,CDK4,CHP1,CHP2,CHUK,FOS,FYN,GRB2,GSK3B,HRAS,IKBKB,IL10,JUN,KRAS,LCK,LCP2,MAP2K1,MAP2K2,MAP2K7,MAP3K14,MAP3K7,MAP3K8,MAPK1,MAPK11,MAPK13,MAPK14,MAPK3,NCK1,NCK2,NFATC1,NFATC2,NFATC3,NFATC4,NFKB1,NFKBIA,NFKBIB,NFKBIE,NRAS,PAK1,PAK2,PAK4,PAK5,PIK3CA,PIK3CD,PIK3R1,PIK3R2,PIK3R3,PIK3R5,PLCG1,PPP3CA,PPP3CB,PPP3CC,PPP3R1,PRKCQ,PTPN6,PTPRC,RAF1,RELA,RHOA,SOS1,TEC,VAV1,VAV2,ZAP70"	73	10505	13	3676	"1.1729-Inf"	1.96499200394799	0.0121896450863287	0.100250144395527
