""	"Component"	"Collection"	"pathway"	"BG_genes"	"genes_in_pathway"	"genes_in_path_and_BG"	"genes_of_interest"	"genes_of_interest_in_pathway"	"gene_names_in_pathway"	"cont_n1"	"cont_n2"	"cont_n3"	"cont_n4"	"CI_95"	"odds_ratio"	"p_val"	"p_adj"
"9"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_VIRAL_MYOCARDITIS"	14267	184	53	245	5	"HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQB1"	5	240	48	13974	"2.2752-Inf"	6.06309842497168	0.00210195466400321	0.00408713406889512
"52"	"gene_taxa_component_3.txt"	"C2_CP"	"KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION"	14267	122	92	221	6	"CDH5,CLDN11,CLDN5,CLDN7,ESAM,RHOH"	6	215	86	13960	"1.9046-Inf"	4.52907780837751	0.00304287924297487	0.00548039295689277
"61"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_LEISHMANIA_INFECTION"	14267	158	58	245	5	"HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQB1"	5	240	53	13969	"2.0675-Inf"	5.48935886804336	0.00313165311822444	0.00548039295689277
"1"	"gene_taxa_component_1.txt"	"C2_CP"	"KEGG_PURINE_METABOLISM"	14267	175	130	232	7	"ADSL,POLA2,POLD3,POLR2G,POLR3C,PRIM2,RRM1"	7	225	123	13912	"1.6037-Inf"	3.51812798396354	0.00535456844999336	0.00892428074998894
"27"	"gene_taxa_component_7.txt"	"C2_CP"	"PID_MTOR_4PATHWAY"	14267	74	68	240	5	"BRAF,CLIP1,PDPK1,RB1CC1,YWHAG"	5	235	63	13964	"1.7856-Inf"	4.71539872582412	0.00569543498067707	0.00903309433819171
"5"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_E2F_PATHWAY"	14267	78	71	232	5	"BRCA1,CASP7,RANBP1,RRM1,TYMS"	5	227	66	13969	"1.7671-Inf"	4.66119700010356	0.00593603342224026	0.00903309433819171
"63"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_REGULATION_OF_ACTIN_CYTOSKELETON"	14267	221	172	187	7	"APC2,ARAF,BAIAP2,CHRM4,FGF11,FGFR3,RAC3"	7	180	165	13915	"1.498-Inf"	3.27910695551135	0.00757942002375848	0.0110533208679811
"7"	"gene_taxa_component_10.txt"	"C2_CP"	"KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS"	14267	264	75	245	5	"HLA-DMA,HLA-DOA,HLA-DPA1,HLA-DPB1,HLA-DQB1"	5	240	70	13952	"1.5774-Inf"	4.15187344105429	0.00933134234002676	0.0130638792760375
"17"	"gene_taxa_component_7.txt"	"C2_CP"	"KEGG_NEUROTROPHIN_SIGNALING_PATHWAY"	14267	131	113	240	6	"BRAF,KIDINS220,MAPK9,PDPK1,PTPN11,YWHAG"	6	234	107	13920	"1.4104-Inf"	3.33518915494608	0.0120822171252004	0.0162645230531544
"24"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_CALCIUM_SIGNALING_PATHWAY"	14267	185	116	187	5	"CACNA1G,CHP2,GRIN1,PLCB3,SLC8A2"	5	182	111	13969	"1.3234-Inf"	3.45675296166151	0.018284458816743	0.0237020762439262
"42"	"gene_taxa_component_3.txt"	"C2_CP"	"KEGG_JAK_STAT_SIGNALING_PATHWAY"	14267	160	100	221	5	"CSF2RB,CSF3R,LIF,SPRED2,SPRY1"	5	216	95	13951	"1.2996-Inf"	3.39880616017645	0.0195847646068902	0.0244809557586128
"34"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_INSULIN_SIGNALING_PATHWAY"	14267	155	121	187	5	"ARAF,ELK1,PRKAR1B,PRKCZ,SLC2A4"	5	182	116	13964	"1.2669-Inf"	3.30658862062228	0.0215209434678624	0.0259735524612132
"6"	"gene_taxa_component_1.txt"	"C2_CP"	"PID_ERBB1_DOWNSTREAM_PATHWAY"	14267	108	103	232	5	"ARPC4,BRK1,CDC42,CREB1,NRAS"	5	227	98	13937	"1.1988-Inf"	3.13197678585301	0.0263771692567807	0.0307733641329109
"72"	"gene_taxa_component_4.txt"	"C2_CP"	"KEGG_WNT_SIGNALING_PATHWAY"	14267	166	129	187	5	"APC2,CHP2,NKD2,PLCB3,RAC3"	5	182	124	13956	"1.1858-Inf"	3.09150043257141	0.0274369075094914	0.0309771536397483
"81"	"gene_taxa_component_3.txt"	"C2_CP"	"PID_P53_DOWNSTREAM_PATHWAY"	14267	148	127	221	5	"BCL2A1,DUSP5,LIF,MAP4K4,TNFRSF10D"	5	216	122	13924	"1.0146-Inf"	2.64154971223121	0.0475786189938225	0.0520391145244934
"36"	"gene_taxa_component_7.txt"	"C2_CP"	"PID_PDGFRB_PATHWAY"	14267	136	123	240	5	"BRAF,MAPK9,PTPN11,RASA1,YWHAG"	5	235	118	13909	"0.96336-Inf"	2.5076764089219	0.0567216434632062	0.0601593188246127
"33"	"gene_taxa_component_3.txt"	"C2_CP"	"KEGG_FOCAL_ADHESION"	14267	218	179	221	6	"BIRC3,COL4A1,FLT4,IBSP,THBS1,VEGFC"	6	215	173	13873	"0.95268-Inf"	2.2375950551223	0.0600836312652039	0.0618507968906511
"18"	"gene_taxa_component_8.txt"	"C2_CP"	"KEGG_ENDOCYTOSIS"	14267	245	169	282	5	"ARFGAP3,CLTB,GRK6,HSPA1L,TRAF6"	5	277	164	13821	"0.58782-Inf"	1.521112978433	0.242833933813938	0.242833933813938
